UF;Código;Área Territorial - km² [2018];População estimada - pessoas [2019];Densidade demográfica - hab/km² [2010];IDH2010;Receitas realizadas - R$ (×1000) [2017];Despesas empenhadas - R$ (×1000) [2017];RendimentoMensalDomiciliarPerCapita2019
Acre;12;164123,738;881935;4,47;0,663;6632883,10836;6084416,8063;890
Alagoas;27;27843,295;3337357;112,33;0,631;11950438,46015;10460634,91711;731
Amapá;16;142470,762;845731;4,69;0,708;5396417,14471;4224464,08829;880
Amazonas;13;1559168,117;4144597;2,23;0,674;17328459,43402;15324896,55705;842
Bahia;29;564722,611;14873064;24,82;0,66;50191003,24052;45570160,0038;913
Ceará;23;148894,757;9132078;56,76;0,682;28420222,47191;24608352,18276;942
Distrito Federal;53;5760,783;3015268;444,66;0,824;23812211,27074;21990464,6849;2686
Espírito Santo;32;46074,444;4018650;76,25;0,74;19685616,74376;14392338,00188;1477
Goiás;52;340125,715;7018354;17,65;0,735;37885335,16848;24248380,34233;1306
Maranhão;21;329642,17;7075181;19,81;0,639;18503261,35491;17627170,75574;636
Mato Grosso;51;903206,997;3484466;3,36;0,725;23958528,83588;18187363,27009;1403
Mato Grosso do Sul;50;357145,535;2778986;6,86;0,729;16396655,77012;14506915,37404;1514
Minas Gerais;31;586521,121;21168791;33,41;0,731;97199823,15616;98391669,16323;1358
Pará;15;1245759,305;8602865;6,07;0,646;25849446,10454;22533470,04547;807
Paraíba;25;56467,239;4018127;66,7;0,658;13097005,31928;10074700,04266;929
Paraná;41;199305,236;11433957;52,4;0,749;60163576,12246;55534402,97483;1621
Pernambuco;26;98068,021;9557071;89,62;0,673;35746028,97102;33320486,44445;970
Piauí;22;251616,823;3273227;12,4;0,646;12124215,61511;9676736,31835;827
Rio de Janeiro;33;43750,423;17264943;365,23;0,761;78488140,78862;67965548,69757;1882
Rio Grande do Norte;24;52809,602;3506853;59,99;0,684;13527552,73159;11330957,55333;1057
Rio Grande do Sul;43;281707,151;11377239;37,96;0,746;66397468,17915;62476279,34364;1843
Rondônia;11;237765,233;1777225;6,58;0,69;9122310,72305;7085530,0168;1136
Roraima;14;224273,831;605761;2,01;0,707;4419450,41557;3384683,73914;1044
Santa Catarina;42;95730,921;7164788;65,27;0,774;34696772,82078;25595103,37918;1769
São Paulo;35;248219,481;45919049;166,23;0,783;232822496,56706;231982243,69176;1946
Sergipe;28;21926,908;2298696;94,36;0,665;10145046,95355;8494927,19996;980
Tocantins;17;277720,404;1572866;4,98;0,699;10305099,01288;8929456,43836;1056
